iShares Russell 1000 ETF
Fund Holdings as of,"Nov 07, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"119,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","63,225,800.55","0.14","63,225,800.55","194,511.00","325.05","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","62,663,596.32","0.14","62,663,596.32","380,148.00","164.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","62,548,311.32","0.14","62,548,311.32","180,598.00","346.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","60,568,053.00","0.14","60,568,053.00","406,497.00","149.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","59,315,539.65","0.13","59,315,539.65","333,327.00","177.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","59,247,768.72","0.13","59,247,768.72","286,692.00","206.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","59,128,101.27","0.13","59,128,101.27","609,003.00","97.09","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"SNOW","SNOWFLAKE INC","Information Technology","Equity","58,614,888.54","0.13","58,614,888.54","222,989.00","262.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","58,592,949.84","0.13","58,592,949.84","482,962.00","121.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","58,042,995.63","0.13","58,042,995.63","121,783.00","476.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","57,612,086.50","0.13","57,612,086.50","69,854.00","824.75","United States","NASDAQ","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","57,582,806.25","0.13","57,582,806.25","471,025.00","122.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
